Configuration,Resolution,Target_FPS,Actual_FPS,Inter_Frame_Delay_ms,Codec,Bitrate_Usb,Host_GPU_CPU_Usage_%,Duration_Sec
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,60
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,60
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,60
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,60
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,60
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,28,35.71,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,29,34.48,h265,16M,0.0,60
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,60
720p_30fps_16M,720p,30,31,32.26,h265,16M,0.0,60
720p_30fps_16M,720p,30,27,37.04,h265,16M,0.0,60
720p_30fps_16M,720p,30,28,35.71,h265,16M,0.0,60
720p_30fps_16M,720p,30,26,38.46,h265,16M,0.0,60
720p_30fps_24M,720p,30,31,32.26,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,29,34.48,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,31,32.26,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,29,34.48,h265,24M,0.0,60
720p_30fps_24M,720p,30,31,32.26,h265,24M,0.0,60
720p_30fps_24M,720p,30,29,34.48,h265,24M,0.0,60
720p_30fps_24M,720p,30,31,32.26,h265,24M,0.0,60
720p_30fps_24M,720p,30,29,34.48,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,31,32.26,h265,24M,0.0,60
720p_30fps_24M,720p,30,29,34.48,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,29,34.48,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,30,33.33,h265,24M,0.0,60
720p_30fps_24M,720p,30,31,32.26,h265,24M,0.0,60
